"","ID","logFC","logCPM","F","PValue","From","Entry","Reviewed","Entry.Name","Protein.names","Gene.Names","Function..CC.","Gene.Names..primary.","Gene.Ontology..GO.","Interacts.with","Subcellular.location..CC.","Ensembl","FDR"
"15594","RPL26L1",0.487582612639107,5.68928385767995,17.2882762478793,6.34491622894611e-05,"Q9UNX3","Q9UNX3","reviewed","RL26L_HUMAN","60S ribosomal protein L26-like 1 (Large ribosomal subunit protein uL24-like 1)","RPL26L1 RPL26P1","","RPL26L1","cytosolic large ribosomal subunit [GO:0022625]; extracellular exosome [GO:0070062]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; ribosomal large subunit biogenesis [GO:0042273]","P42858","","ENST00000265100.6;ENST00000519239.5;ENST00000519974.5;ENST00000521476.5;",0.00272107854765943
"15599","RPL3",0.45172567940591,8.22839195187195,23.5978484860298,3.92016308087898e-06,"P39023","P39023","reviewed","RL3_HUMAN","60S ribosomal protein L3 (HIV-1 TAR RNA-binding protein B) (TARBP-B) (Large ribosomal subunit protein uL3)","RPL3 OK/SW-cl.32","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","RPL3","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; nucleolus [GO:0005730]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; synapse [GO:0045202]; 5S rRNA binding [GO:0008097]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cellular response to interleukin-4 [GO:0071353]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]","O76024","SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:16963496}. Cytoplasm {ECO:0000269|PubMed:16963496, ECO:0000269|PubMed:23636399}.","ENST00000216146.9;",0.000248904900031394
"15601","RPL31",0.384444807310433,11.2032548703247,18.013690071481,4.56662091751806e-05,"B8ZZK4","B8ZZK4","unreviewed","B8ZZK4_HUMAN","60S ribosomal protein L31","RPL31","","RPL31","ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","","","ENST00000409000.5;ENST00000409711.1;ENST00000419276.1;",0.0020672416357172
"15603","RPL34",0.44345012202356,10.595135426518,23.884259978322,3.46805352549177e-06,"A1LUY1","A1LUY1","unreviewed","A1LUY1_HUMAN","60S ribosomal protein L34","RPL34 hCG_2027853","","RPL34","cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","","","",0.000226529777965683
"15606","RPL36",0.399827033262539,8.72938047530269,14.4850768031236,0.000232197094768476,"Q9Y3U8","Q9Y3U8","reviewed","RL36_HUMAN","60S ribosomal protein L36 (Large ribosomal subunit protein eL36)","RPL36","FUNCTION: Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:25901680, PubMed:25957688, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:25901680, PubMed:25957688, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:25901680, ECO:0000269|PubMed:25957688, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","RPL36","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nucleolus [GO:0005730]; polysomal ribosome [GO:0042788]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]","","SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:25957688}. Cytoplasm {ECO:0000305|PubMed:23636399, ECO:0000305|PubMed:25901680}. Note=Detected on cytosolic polysomes (PubMed:25957688). {ECO:0000250|UniProtKB:Q2YGT9, ECO:0000269|PubMed:25957688}.","ENST00000347512.8;ENST00000394580.2;ENST00000577222.5;ENST00000579649.5;",0.00749314585031734
"15609","RPL37",0.549747133996218,12.0129383833705,34.3159508533519,5.61130504650905e-08,"P61927","P61927","reviewed","RL37_HUMAN","60S ribosomal protein L37 (G1.16) (Large ribosomal subunit protein eL37)","RPL37","FUNCTION: Component of the large ribosomal subunit (PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:23636399, PubMed:32669547). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","RPL37","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; MDM2/MDM4 family protein binding [GO:0097371]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]; cytoplasmic translation [GO:0002181]; positive regulation of signal transduction by p53 class mediator [GO:1901798]; translation [GO:0006412]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.","ENST00000274242.10;",7.07746376157235e-06
"15612","RPL39",0.34523166773714,10.2577194425113,15.0893504639325,0.000174643262564248,"P62891","P62891","reviewed","RL39_HUMAN","60S ribosomal protein L39 (Large ribosomal subunit protein eL39)","RPL39","FUNCTION: RNA-binding component of the large ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000269|PubMed:8764829}.","RPL39","cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular space [GO:0005615]; polysomal ribosome [GO:0042788]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; antibacterial humoral response [GO:0019731]; antimicrobial humoral immune response mediated by antimicrobial peptide [GO:0061844]; cytoplasmic translation [GO:0002181]; defense response to Gram-positive bacterium [GO:0050830]; innate immune response in mucosa [GO:0002227]; translation [GO:0006412]","","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.","ENST00000361575.4;",0.00605553837359297
"15615","RPL4",0.483334744058402,9.23046965876045,30.8305623217685,1.94281238767385e-07,"P36578","P36578","reviewed","RL4_HUMAN","60S ribosomal protein L4 (60S ribosomal protein L1) (Large ribosomal subunit protein uL4)","RPL4 RPL1","FUNCTION: Component of the large ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547}.","RPL4","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleus [GO:0005634]; ribonucleoprotein complex [GO:1990904]; rough endoplasmic reticulum [GO:0005791]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]","P42858; Q99558; P50914; Q02543; P46779; P60866","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.","ENST00000307961.11;",2.06487168768205e-05
"15617","RPL5",0.459365778953693,10.9243931068268,25.4222980438419,1.80543761557709e-06,"P46777","P46777","reviewed","RL5_HUMAN","60S ribosomal protein L5 (Large ribosomal subunit protein uL18)","RPL5 MSTP030","FUNCTION: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. As part of the 5S RNP/5S ribonucleoprotein particle it is an essential component of the LSU, required for its formation and the maturation of rRNAs (PubMed:12962325, PubMed:19061985, PubMed:24120868, PubMed:23636399). It also couples ribosome biogenesis to p53/TP53 activation. As part of the 5S RNP it accumulates in the nucleoplasm and inhibits MDM2, when ribosome biogenesis is perturbed, mediating the stabilization and the activation of TP53 (PubMed:24120868). {ECO:0000269|PubMed:12962325, ECO:0000269|PubMed:19061985, ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:24120868}.","RPL5","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; endoplasmic reticulum [GO:0005783]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; ribonucleoprotein complex [GO:1990904]; synapse [GO:0045202]; 5S rRNA binding [GO:0008097]; mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; ubiquitin ligase inhibitor activity [GO:1990948]; ubiquitin protein ligase binding [GO:0031625]; cytoplasmic translation [GO:0002181]; negative regulation of protein neddylation [GO:2000435]; negative regulation of ubiquitin protein ligase activity [GO:1904667]; negative regulation of ubiquitin-dependent protein catabolic process [GO:2000059]; positive regulation of gene expression [GO:0010628]; positive regulation of translation [GO:0045727]; protein stabilization [GO:0050821]; regulation of signal transduction by p53 class mediator [GO:1901796]; ribosomal large subunit assembly [GO:0000027]; ribosomal large subunit biogenesis [GO:0042273]; rRNA processing [GO:0006364]; translation [GO:0006412]","P43146; Q00987; Q14684; Q63155","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15469983, ECO:0000269|Ref.7}. Nucleus, nucleolus {ECO:0000269|PubMed:15469983, ECO:0000269|Ref.7}. Note=Although RP5 is functional within the cytoplasm, the assembly of ribosomal subunits occurs in the nucleus. RPL5 nuclear import is mediated by IPO5/RanBP5, IPO7/RanBP7, KPNB1/importin-beta or TPNO1/Trn. {ECO:0000269|PubMed:9687515}.","ENST00000370321.8;",0.000134247673042683
"15622","RPL8",0.403614509265598,9.56669504971729,17.7147293092923,5.22793281336382e-05,"P62917","P62917","reviewed","RL8_HUMAN","60S ribosomal protein L8 (Large ribosomal subunit protein uL2)","RPL8","FUNCTION: Component of the large ribosomal subunit. The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:32669547, ECO:0000305|PubMed:12962325}.","RPL8","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; cytosolic ribosome [GO:0022626]; focal adhesion [GO:0005925]; membrane [GO:0016020]; polysomal ribosome [GO:0042788]; postsynapse [GO:0098794]; postsynaptic density [GO:0014069]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]","Q99558","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23636399}.","ENST00000262584.7;ENST00000394920.6;ENST00000528957.6;",0.00232887139175724
"15623","RPL9",0.448423644375123,11.2219060803973,28.0857896779172,5.94807439003866e-07,"Q53Z07","Q53Z07","unreviewed","Q53Z07_HUMAN","60S ribosomal protein L9","RPL9 hCG_37461","","RPL9","ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]","","","",5.23966408881063e-05
"15642","RPS12",0.487103388920624,13.0117853145941,29.7392434938673,3.02239729662188e-07,"P25398","P25398","reviewed","RS12_HUMAN","40S ribosomal protein S12 (Small ribosomal subunit protein eS12)","RPS12","","RPS12","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; Golgi apparatus [GO:0005794]; intracellular membrane-bounded organelle [GO:0043231]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; translation [GO:0006412]","P42858","SUBCELLULAR LOCATION: Cytoplasm.","ENST00000230050.4;",3.01561232309885e-05
"15643","RPS13",0.359531972732878,9.71722236025191,14.2936113221586,0.000253476224375447,"P62277","P62277","reviewed","RS13_HUMAN","40S ribosomal protein S13 (Small ribosomal subunit protein uS15)","RPS13","","RPS13","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; ribosome [GO:0005840]; mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; negative regulation of RNA splicing [GO:0033119]; translation [GO:0006412]","Q5S007; Q99558; Q53EL6","","ENST00000525634.6;",0.00796942290013867
"15646","RPS15A",0.494691613648354,8.97368206659699,17.8181514189831,8.7977735500315e-05,"P62244","P62244","reviewed","RS15A_HUMAN","40S ribosomal protein S15a (Small ribosomal subunit protein uS8)","RPS15A OK/SW-cl.82","FUNCTION: Structural component of the ribosome (PubMed:23636399). Required for proper erythropoiesis (PubMed:27909223). {ECO:0000269|PubMed:23636399, ECO:0000269|PubMed:27909223}.","RPS15A","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; positive regulation of cell cycle [GO:0045787]; positive regulation of cell population proliferation [GO:0008284]; response to virus [GO:0009615]; translation [GO:0006412]","P22607; P28799; P06396; P04792; P42858; O60333-2; D3DTS7; Q9Y3C5; O76024","","ENST00000322989.8;ENST00000563390.5;ENST00000565420.5;ENST00000572008.5;",0.00353283900501881
"15648","RPS17",0.386441519704506,10.4486962944656,20.3360432830113,1.61904868287721e-05,"P08708","P08708","reviewed","RS17_HUMAN","40S ribosomal protein S17 (Small ribosomal subunit protein eS17)","RPS17 RPS17L","","RPS17","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; ribosome [GO:0005840]; synapse [GO:0045202]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; erythrocyte homeostasis [GO:0034101]; ribosomal small subunit biogenesis [GO:0042274]; rRNA processing [GO:0006364]; translation [GO:0006412]; translational initiation [GO:0006413]","","","ENST00000617731.2;ENST00000647841.1;",0.00088195309310158
"15649","RPS18",0.548519437244783,10.1331236195385,33.6936760489877,6.20445463785952e-08,"P62269","P62269","reviewed","RS18_HUMAN","40S ribosomal protein S18 (Ke-3) (Ke3) (Small ribosomal subunit protein uS13)","RPS18 D6S218E","FUNCTION: Located at the top of the head of the 40S subunit, it contacts several helices of the 18S rRNA. {ECO:0000250}.","RPS18","cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic ribosome [GO:0022626]; cytosolic small ribosomal subunit [GO:0022627]; extracellular exosome [GO:0070062]; focal adhesion [GO:0005925]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; postsynaptic density [GO:0014069]; ribosome [GO:0005840]; small ribosomal subunit [GO:0015935]; RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]; translation [GO:0006412]","Q5S007","SUBCELLULAR LOCATION: Cytoplasm.","ENST00000211372.9;ENST00000434122.2;ENST00000439602.7;ENST00000454021.6;ENST00000457341.6;",7.63108898729439e-06
